url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,115,52
/CAMI-challenge/CAMISIM/wiki/User-manual,27,18
/CAMI-challenge/CAMISIM/issues,15,5
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,9,7
/CAMI-challenge/CAMISIM/commit/b05bcd6d10546f456ef096fe8c0330b60883c566,8,3
/CAMI-challenge/CAMISIM/tree/master/nextflow_defaults,7,5
/CAMI-challenge/CAMISIM/wiki/File-Formats,6,4
/CAMI-challenge/CAMISIM/commit/4a42cd81e2006239725894b33adbaf3924e75ddc,6,2
/CAMI-challenge/CAMISIM/commit/4ec6b2247e65c092af5874c2382745ef6519b6ed,6,2
/CAMI-challenge/CAMISIM/commits/fix-nanosim-ns,6,2
