url_path,views_total,views_unique
/hzi-bifo/traitar,44,34
/hzi-bifo/traitar/tree/master/traitar,11,4
/hzi-bifo/traitar/blob/master/traits.tsv,9,6
/hzi-bifo/traitar/blob/master/INSTALL.md,7,5
/hzi-bifo/traitar/blob/master/traitar/traitar,7,4
/hzi-bifo/traitar/tree/master/traitar/data/sample_data,3,1
/hzi-bifo/traitar/blob/master/traitar/heatmap.py,2,2
/hzi-bifo/traitar/blob/master/traitar/data/sample_data/samples_gene_gff.txt,2,1
/hzi-bifo/traitar/tree/master/traitar/data,2,1
/hzi-bifo/traitar/blob/8bd7d8677ffcdfda144c9181d6cfb868724bc385/traitar/traitar,1,1
