url_path,views_total,views_unique
/hzi-bifo/traitar,35,29
/hzi-bifo/traitar/blob/master/traits.tsv,7,5
/hzi-bifo/traitar/blob/master/INSTALL.md,6,4
/hzi-bifo/traitar/tree/master/traitar,6,2
/hzi-bifo/traitar/forks,4,1
/hzi-bifo/traitar/tree/master/traitar/data/sample_data,3,1
/hzi-bifo/traitar/blob/master/traitar/heatmap.py,2,2
/hzi-bifo/traitar/blob/master/traitar/data/sample_data/samples_gene_gff.txt,2,1
/hzi-bifo/traitar/blob/master/traitar/traitar,2,1
/hzi-bifo/traitar/tree/master/traitar/data,2,1
