url_path,views_total,views_unique
/hzi-bifo/traitar,48,24
/hzi-bifo/traitar/blob/master/INSTALL.md,46,9
/hzi-bifo/traitar/tree/master/traitar,32,8
/hzi-bifo/traitar/blob/master/README.md,29,5
/hzi-bifo/traitar/tree/master/traitar/data/sample_data,27,5
/hzi-bifo/traitar/tree/master/traitar/data,22,5
/hzi-bifo/traitar/tree/master/traitar/data/sample_data/traitar_out/phenotype_prediction,19,2
/hzi-bifo/traitar/tree/master/traitar/data/sample_data/traitar_out,18,3
/hzi-bifo/traitar/blob/master/traits.tsv,14,3
/hzi-bifo/traitar/blob/master/setup.py,13,3
