url_path,views_total,views_unique
/hzi-bifo/traitar,25,20
/hzi-bifo/traitar/blob/master/setup.py,6,2
/hzi-bifo/traitar/blob/master/INSTALL.md,5,5
/hzi-bifo/traitar/blob/master/traits.tsv,4,4
/hzi-bifo/traitar/blob/master/traitar/data/sample_data/traitar_out/phenotype_prediction/heatmap_combined.png,3,2
/hzi-bifo/traitar/tree/master/traitar,3,2
/hzi-bifo/traitar/tree/master/traitar/data,2,2
/hzi-bifo/traitar/tree/master/traitar/data/sample_data,2,2
/hzi-bifo/traitar/tree/master/traitar/data/sample_data/traitar_out,2,2
/hzi-bifo/traitar/blob/1.1.1/README.md,1,1
