url_path,views_total,views_unique
/hzi-bifo/RiboDetector,121,76
/hzi-bifo/RiboDetector/issues,25,8
/hzi-bifo/RiboDetector/tree/pip/ribodetector,2,2
/hzi-bifo/RiboDetector/blob/pip/setup.py,2,1
/hzi-bifo/RiboDetector/tree/pip/ribodetector/data,2,1
/hzi-bifo/RiboDetector/blob/0c20b2cb8a6d16abd0f5d44a56b5a37d39600d9a/ribodetector/detect_cpu.py,1,1
/hzi-bifo/RiboDetector/blob/pip/README.md,1,1
/hzi-bifo/RiboDetector/issues/15,1,1
/hzi-bifo/RiboDetector/issues/16,1,1
/hzi-bifo/RiboDetector/issues/21,1,1
