url_path,views_total,views_unique
/BiBiServ/bibigrid,10,8
/BiBiServ/bibigrid/issues,9,3
/BiBiServ/bibigrid/blob/master/bibigrid.yaml,3,1
/BiBiServ/bibigrid/blob/master/documentation/markdown/features/configuration.md,2,2
/BiBiServ/bibigrid/tree/master/bibigrid,2,2
/BiBiServ/bibigrid/actions/runs/12768658291/workflow,1,1
/BiBiServ/bibigrid/actions/runs/13117500701/usage,1,1
/BiBiServ/bibigrid/actions/runs/14312259615,1,1
/BiBiServ/bibigrid/actions/runs/16413303856,1,1
/BiBiServ/bibigrid/blob/6ef3acbaadd020b35c24520e9e81ea1fb2b8c3ea/documentation/markdown/bibigrid_software_list.md,1,1
