url_path,views_total,views_unique
/gi-bielefeld/sans,22,12
/gi-bielefeld/sans/commits/clowm-integration,6,1
/gi-bielefeld/sans/issues,2,2
/gi-bielefeld/sans/blob/96b92c4cc9fe4e1f9f8e58e2d9ff8d38e98a4af4/clowm/clowm_info.json,2,1
/gi-bielefeld/sans/blob/master/SANS-autoN.sh,2,1
/gi-bielefeld/sans/commits/master,2,1
/gi-bielefeld/sans/tree/96b92c4cc9fe4e1f9f8e58e2d9ff8d38e98a4af4,2,1
/gi-bielefeld/sans/tree/96b92c4cc9fe4e1f9f8e58e2d9ff8d38e98a4af4/clowm,2,1
/gi-bielefeld/sans/tree/clowm-integration,2,1
/gi-bielefeld/sans/blob/c8de5ef4b2f2030041df8f3538484ce17d73cd7b/src/color.cpp,1,1
